label,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,kmeans
7.7,0.368573588,0.420642503,0.530377729,0.638540785,0.820397997,0.979969515,1.079427331,1.225119648,1.372254015,1.556902789,1.777600923,2.024132157,2.193049913,2.407098908,2.652617653,7
5.8,0.873984172,0.933610921,1.079533867,1.165438188,1.23631298,1.389270394,1.529716938,1.724598395,1.940265877,2.222398449,2.538471517,2.825900955,2.945459821,3.024156212,3.043292067,0
5,0.873453382,0.9814453,1.173071588,1.32705314,1.499882058,1.764977008,2.014329697,2.323736253,2.595389345,2.891011724,3.088548706,3.288683327,3.433143629,3.553879147,3.580032102,0
6.5,1.167532264,1.246527153,1.435943922,1.564519144,1.700412046,1.908145248,2.11949072,2.354454148,2.57532738,2.796344416,2.960301057,3.056926958,3.101287405,3.141762333,3.132586642,0
1.1,1.313814035,1.478502904,1.752600829,2.007996536,2.265045393,2.629031053,2.830007221,3.038775777,3.189593359,3.368106808,3.514821946,3.657122001,3.703164199,3.7230205,3.757650594,5
3.8,0.710536212,0.810871339,0.985117193,1.110641175,1.246931674,1.471590073,1.681818463,1.950584758,2.234643164,2.588359525,2.851725049,3.096838089,3.278067756,3.432750363,3.501888131,0
4,1.455659472,1.593643262,1.815871516,1.95454073,2.08500896,2.249723669,2.279093891,2.307165935,2.329489959,2.388148255,2.446414158,2.502677147,2.535135051,2.53893621,2.486979702,7
10.9,0.380023906,0.42792842,0.54198633,0.630037276,0.748190494,0.914596635,1.033769066,1.176109744,1.312274203,1.492916674,1.688989595,1.900408774,2.032240341,2.188998578,2.34491681,7
5,1.351996655,1.453538892,1.665561616,1.818487455,1.986080439,2.229026792,2.451052887,2.678475832,2.840881152,2.971777154,3.054499002,3.13306258,3.180191891,3.207250779,3.176113532,0
5.4,1.104965814,1.164616918,1.332864612,1.428546181,1.539565701,1.723900039,1.889048108,2.082869494,2.279108069,2.494590329,2.724841488,2.899752517,2.969586049,2.991630381,2.952687223,0
3.2,2.428089251,2.555708139,2.761846989,2.858171899,2.911816578,3.021526099,3.039724246,3.09209052,3.073443306,3.067048377,3.074905563,3.096296567,3.081600089,3.058013426,3.001203425,6
4,0.864134823,1.002155983,1.234445386,1.41493018,1.628294168,1.942040484,2.145509661,2.357634965,2.539053508,2.743012292,2.967094211,3.215847305,3.330345157,3.419064353,3.527681386,8
2.7,1.87126622,2.074064439,2.459636654,2.800911998,3.089705779,3.344267077,3.458678269,3.641082631,3.73195885,3.845355406,3.924610606,3.985076853,3.980282703,3.973613056,3.930435778,6
4.9,0.707108449,0.788637089,0.929567305,0.988036966,1.02314531,1.171679234,1.27498959,1.427020056,1.596276581,1.839914432,2.135392821,2.476802453,2.689411413,2.829436425,2.87624612,7
4.6,0.954219148,1.060271465,1.242973781,1.385804251,1.532074065,1.780903144,2.010451234,2.309692803,2.611888425,2.87253929,3.043250825,3.204303647,3.313517408,3.423435867,3.427019266,0
0.4,1.914002716,2.101818891,2.415572747,2.701617915,2.943545629,3.216367598,3.346922397,3.519384514,3.60066034,3.657691396,3.666242839,3.701416343,3.67513572,3.643587917,3.597175084,5
3,4.313837384,4.253437595,4.255092987,4.163733621,4.057870278,3.924520188,3.85549395,3.785832946,3.718618568,3.626932683,3.542428749,3.47731497,3.414983284,3.325503708,3.265991888,9
1.4,2.524326573,2.749232931,2.966503354,3.123297361,3.320116118,3.490721423,3.6698152,3.733774534,3.77318648,3.816998583,3.863959941,3.865354124,3.874980233,3.828862913,3.774587632,5
4.4,1.560574566,1.709200098,1.907149261,2.122580976,2.357003214,2.641180319,2.881541895,2.972670281,3.015831947,2.993433451,3.053891241,3.074634637,3.087848074,3.059794369,3.064836625,0
2.9,2.146824114,2.235345615,2.318199245,2.393016311,2.505731644,2.616585489,2.695970266,2.72691203,2.719245013,2.675430188,2.678396297,2.675052571,2.700549134,2.716207063,2.735727356,0
1,0.690116981,0.761447791,0.844174021,0.914419074,1.034346228,1.197585445,1.439955994,1.61877462,1.835414892,2.017453311,2.2136743,2.361889474,2.503978468,2.624803822,2.77555508,7
3.6,2.529545262,2.762664471,2.99009653,3.136612856,3.320350913,3.470867511,3.613939892,3.687586222,3.753115298,3.719561022,3.733536943,3.707374956,3.691989513,3.670521722,3.659306993,6
2.5,2.256244766,2.292165701,2.341101964,2.388035806,2.461740646,2.543180812,2.606856371,2.633721932,2.618430065,2.575459886,2.580404389,2.583788187,2.615904397,2.642992594,2.671695869,7
2.7,2.807051011,2.783222667,2.80664173,2.78540445,2.794695267,2.810250199,2.815250807,2.806298004,2.799218983,2.779321064,2.770021841,2.755681104,2.705954223,2.616179344,2.572034641,3
1.7,3.275087247,3.272245824,3.314345355,3.27634932,3.263439365,3.274794142,3.31255161,3.280531615,3.241299306,3.170756781,3.152382033,3.160253891,3.18341515,3.172313188,3.206270179,3
2.2,2.155220764,2.320690971,2.515087803,2.652545825,2.794024978,2.918419148,2.980102024,3.001602231,3.011587657,2.980178993,2.980596057,2.987706971,3.004385268,2.993606971,2.997155957,0
1.5,2.999948463,3.067912642,3.165233452,3.182871664,3.228638194,3.275242081,3.307432592,3.295038799,3.277866599,3.213519786,3.19643097,3.187873619,3.198651971,3.192640601,3.20017112,6
0,3.142496817,3.115247569,3.114624204,3.029146181,2.926806667,2.820760327,2.696636521,2.506291552,2.288350174,2.065295196,1.855810854,1.678275054,1.49988503,1.364195474,1.233834008,2
2.2,2.641180319,2.881541895,2.972670281,3.015831947,2.993433451,3.053891241,3.074634637,3.087848074,3.059794369,3.064836625,3.029523757,3.058818021,3.06079303,2.98194886,2.983860599,0
3.7,2.374686331,2.536161094,2.678504866,2.759560281,2.754288886,2.778968186,2.766816436,2.805706214,2.799642374,2.780134582,2.726450916,2.745568361,2.803434354,2.773017594,2.773790426,4
2.1,3.272721027,3.444316119,3.559052109,3.654709324,3.643974443,3.666266914,3.639541265,3.619946695,3.610899034,3.619851694,3.589305608,3.590343972,3.571640334,3.475321031,3.407081828,6
1,2.441453241,2.49667115,2.526511829,2.530983676,2.480578514,2.476565126,2.481425564,2.52343649,2.554919171,2.600698819,2.586160391,2.60036031,2.618910067,2.595595403,2.60318295,7
1.2,3.054499002,3.13306258,3.180191891,3.207250779,3.176113532,3.186417413,3.193005483,3.204429466,3.190857731,3.180081012,3.132603745,3.12497935,3.122634267,3.062536453,3.049417388,6
3.2,3.043250825,3.204303647,3.313517408,3.423435867,3.427019266,3.473929789,3.466415228,3.441349284,3.42146823,3.438949917,3.417532491,3.403207685,3.395117627,3.327337102,3.286331923,6
4.1,2.538471517,2.825900955,2.945459821,3.024156212,3.043292067,3.10894543,3.129984802,3.139581442,3.12285941,3.151118949,3.123147877,3.147377099,3.151352626,3.077070409,3.095219326,0
1.8,1.977593132,2.310060586,2.533792695,2.709684572,2.781993371,2.866799578,2.916162783,2.956021089,2.968117178,3.015111995,2.999151463,3.044187094,3.076422766,3.012695105,3.01518042,0
0,4.048102548,4.01141361,3.95641552,3.887159338,3.818256495,3.778108723,3.737006067,3.695699988,3.616491392,3.590192172,3.503280124,3.41860458,3.304142385,3.111710853,2.871672702,9
0,3.665612595,3.596824554,3.507858667,3.4247731,3.315750149,3.235919402,3.169192645,3.09442626,2.983711662,2.871500901,2.745833359,2.548333929,2.343998139,2.052919404,1.814213174,9
1.4,2.82177669,2.839966079,2.872574446,2.848620815,2.846707693,2.803102816,2.803441924,2.84472002,2.814494712,2.821187705,2.858691509,2.852755701,2.846586906,2.821274215,2.803267008,4
3.9,2.354288348,2.485256156,2.56403188,2.6139956,2.694798583,2.689269145,2.733063884,2.771003484,2.748104161,2.757079009,2.807432788,2.826727658,2.809975382,2.791139341,2.75732947,4
0,2.473768605,2.319880612,2.142584237,1.987385843,1.843216763,1.71559991,1.502787927,1.313229986,1.105309092,0.91223918,0.755581656,0.635006867,0.579113026,0.52672404,0.494671185,2
4.1,1.383444711,1.355177705,1.370546927,1.381922813,1.380510169,1.45973517,1.521842301,1.607427297,1.625243731,1.713866042,1.883695763,2.144975425,2.348906169,2.522345432,2.607191179,1
9.3,1.427951937,1.394515505,1.421053613,1.433957411,1.442950091,1.532260377,1.595082991,1.677198385,1.678796778,1.731248944,1.905048701,2.162778397,2.368263065,2.539522384,2.627387965,1
6.4,1.908418967,1.947336434,2.042331577,2.082256948,2.10314595,2.203970874,2.180744016,2.219390769,2.144651861,2.070075228,2.078014202,2.244545938,2.379718727,2.490260284,2.589124401,4
4.7,1.495858366,1.446835719,1.412258638,1.398418534,1.364990239,1.426447682,1.472623196,1.638937695,1.737509665,1.911276253,2.130357199,2.364676141,2.529533718,2.679122758,2.742240851,1
5.3,0.846472683,0.975584677,1.106003217,1.133329025,1.146614102,1.175874373,1.187441562,1.20801539,1.159831818,1.111589857,1.027284669,0.941762694,0.882269002,0.809952944,0.714641204,7
7.3,1.316695888,1.424070951,1.621988198,1.786080812,1.873806591,1.982841289,1.979821771,2.065669131,2.1712943,2.235551895,2.244070127,2.206499296,2.120797289,2.108617781,2.121511094,4
6.7,1.982236692,2.050834304,2.197057162,2.294560084,2.370473745,2.483138679,2.503011354,2.519437047,2.377087453,2.211398967,2.139217901,2.196317353,2.247489911,2.30482808,2.359307169,4
8.7,1.630863854,1.693697787,1.802737092,1.83661213,1.847211368,1.949051311,1.991017869,2.097179187,2.058333602,1.982669841,2.009141929,2.133216448,2.277245587,2.44438965,2.563665032,4
4.2,2.401715953,2.416862889,2.452716841,2.317825762,2.106391659,1.945716417,1.832821631,1.86182339,1.846438187,1.863435121,1.966609172,2.125646952,2.263752273,2.372827156,2.447972647,8
5,1.418594865,1.582651855,1.851649123,2.11217455,2.366971668,2.588603211,2.654158902,2.706786188,2.620923041,2.471409292,2.313046295,2.191218496,2.066369913,1.883247173,1.73754249,0
3.8,0.74030619,0.687170579,0.702060399,0.779579125,0.893070882,1.091480053,1.16026883,1.203529306,1.307329448,1.465616185,1.610999688,1.761981682,1.895783848,1.955574062,1.95169466,7
2.6,0.66057307,0.632915675,0.62822675,0.690244707,0.787731615,0.957233464,1.080146244,1.130342119,1.227580864,1.371745912,1.543952452,1.7054298,1.836069184,1.904593687,1.89104536,7
13.7,0.892799069,0.911217276,0.98033342,1.048617574,1.081942478,1.149050134,1.246972809,1.381358147,1.525268068,1.635498622,1.662721834,1.634777018,1.546587356,1.516014813,1.493446809,7
10.9,1.025021769,1.094883946,1.20095026,1.238195905,1.26144955,1.332917516,1.406213341,1.53102944,1.533688202,1.530383312,1.484711854,1.449494067,1.393589855,1.481941479,1.615448475,7
1.4,0.547812036,0.498804208,0.488506875,0.496674636,0.515265469,0.54458372,0.621273857,0.685703825,0.734344775,0.776676433,0.848873474,0.983090317,1.163878138,1.329699089,1.446148847,7
3.3,0.760037038,0.754347034,0.83971347,0.97151589,1.124993903,1.360830185,1.457618013,1.521555759,1.645153218,1.835097002,1.959886486,2.087155387,2.171920528,2.193704204,2.136796104,7
12.8,1.417216935,1.625807734,1.921337202,2.126682294,2.268235725,2.369267813,2.402895562,2.40736762,2.270606429,2.140259988,2.006517189,1.880993167,1.703947077,1.431356336,1.248742572,0
1.4,1.941945038,2.164687718,2.421339132,2.461092359,2.454502551,2.467060837,2.377259731,2.273862502,2.034851994,1.80206524,1.689743675,1.627885386,1.498335823,1.35597357,1.298649902,0
9.7,2.355469119,2.457681681,2.61302607,2.553540066,2.382440816,2.222198693,2.03310133,1.909721032,1.811813929,1.785761955,1.858319897,1.96411019,2.006952724,2.00995303,2.026349057,8
4.1,0.736112709,0.78127893,0.890139254,1.026547973,1.247339636,1.505623049,1.669233045,1.838233009,1.977342549,2.145671504,2.217331328,2.263667931,2.299385226,2.280637672,2.20587261,7
3,0.692806375,0.738637522,0.843757094,1.023472536,1.266273067,1.508395762,1.688225526,1.885097032,2.046104787,2.161524835,2.097219053,2.071946206,2.103977335,2.057426695,1.933623916,7
7,2.056438738,2.161958052,2.372997221,2.541861938,2.690838009,2.810096225,2.767881739,2.691490612,2.445182544,2.186912388,2.081196326,2.068993473,2.04849856,2.008459887,2.051500058,0
3,0.883798672,0.916301831,1.026742423,1.12858548,1.216395149,1.316465495,1.373636113,1.447928891,1.565714405,1.753754921,1.919949178,1.994641068,1.903051986,1.822598398,1.734849654,4
6.1,1.215097861,1.268881492,1.331202345,1.352838062,1.382146583,1.428771514,1.512748823,1.681644508,1.725126233,1.707448241,1.700539984,1.773354943,1.883996646,2.096197576,2.286190065,4
4.2,0.929604416,0.975447758,1.101334166,1.200749476,1.265342619,1.355034727,1.39544456,1.495280053,1.630306314,1.803733102,1.911112529,1.944821627,1.852831309,1.791334256,1.770471658,4
6.9,1.22948402,1.203796995,1.237452293,1.280060267,1.266286697,1.319944159,1.37820159,1.443277058,1.397460484,1.390073127,1.418277083,1.539050028,1.696150696,1.9227829,2.092120874,7
1.6,1.387920446,1.483473137,1.675561405,1.916406252,2.198448674,2.491815063,2.596690412,2.68863263,2.712848017,2.748529042,2.722682473,2.595407507,2.403176007,2.158812029,2.004112327,7
2.5,0.785910706,0.78215968,0.863012309,0.962714734,1.103697205,1.312452209,1.353333563,1.39931439,1.510682172,1.6472371,1.797043519,2.006406663,2.093216141,2.081489591,1.95757261,7
5.6,2.157374564,2.233494048,2.43189322,2.572140593,2.650660952,2.696893311,2.619409087,2.51968444,2.259791936,2.059868691,2.025535491,2.070255664,2.093867343,2.111212638,2.17879445,0
14,1.611268872,1.609739996,1.648128955,1.638758018,1.650862213,1.748355382,1.757351226,1.793504238,1.789883237,1.859835334,2.036085167,2.287243719,2.485035326,2.646071855,2.724048284,1
8.8,0.23910498,0.240483834,0.255658622,0.302841508,0.35261904,0.404965975,0.552704599,0.666802384,0.780114615,0.917045043,1.028717882,1.154077404,1.394926792,1.585334757,1.639509502,7
7.5,1.073649505,1.153051296,1.268251925,1.328081063,1.355937621,1.419507014,1.482916414,1.562147372,1.547190581,1.534517212,1.46679342,1.405322141,1.330156278,1.424568854,1.555762988,7
10.8,0.979362509,1.15355739,1.374775216,1.541661345,1.720437009,1.858389396,1.911574316,1.946474306,1.871230035,1.827866868,1.792925703,1.66769828,1.478734052,1.260486973,1.112331511,7
2.3,1.958798789,2.118711807,2.398337685,2.591033653,2.708198899,2.794377348,2.741091918,2.617299427,2.335871997,2.102777087,2.047535417,2.002238349,1.916339899,1.804108332,1.77746942,0
6,1.313295015,1.252755028,1.213209646,1.110075989,0.965054978,0.869509522,0.818346474,0.785483034,0.675607985,0.641542202,0.632196618,0.675213235,0.686601947,0.706224059,0.737279076,7
4.5,1.380831637,1.385525223,1.420193589,1.464643991,1.477593042,1.54340385,1.637914349,1.78522377,1.774806352,1.736196836,1.77018321,1.958772571,2.151082335,2.362122564,2.501900792,4
14.5,1.606879362,1.604104242,1.649211956,1.647475463,1.664549399,1.767702504,1.792060185,1.831053521,1.804217168,1.849649342,2.012650963,2.259932832,2.45944558,2.625981412,2.707882241,1
1.7,0.830841456,0.878831874,1.023191466,1.1689369,1.340880711,1.585614195,1.709771392,1.836019734,1.951748807,2.128639131,2.246550654,2.339845224,2.381187685,2.36253702,2.294200863,7
5.5,1.860781928,1.973949332,2.180013104,2.343823795,2.496735125,2.676982052,2.736385682,2.778091331,2.674216264,2.510536525,2.325876286,2.189083585,2.107584801,2.03562283,2.027738645,4
7.9,0.978007364,0.979008498,1.079059779,1.150672787,1.220986808,1.311544226,1.415749904,1.530098605,1.599300152,1.624060725,1.582830691,1.552925625,1.411205575,1.331908688,1.328903042,7
6.7,0.875647688,0.951526819,1.073745975,1.276376548,1.548892557,1.840793457,2.010409422,2.161955234,2.276291194,2.38597776,2.385489593,2.391624662,2.353581021,2.211246491,2.025988837,7
2,1.573925381,1.607776478,1.686349242,1.71325739,1.819918037,2.017111687,2.272485726,2.463035451,2.625285779,2.69912193,2.832675258,2.86920746,2.925945893,2.777839987,2.625923945,1
6.5,2.676982052,2.736385682,2.778091331,2.674216264,2.510536525,2.325876286,2.189083585,2.107584801,2.03562283,2.027738645,2.170198878,2.336020749,2.58276677,2.695175868,2.776837538,2
9.5,1.316465495,1.373636113,1.447928891,1.565714405,1.753754921,1.919949178,1.994641068,1.903051986,1.822598398,1.734849654,1.823679532,1.992331383,2.297155055,2.501865621,2.656317301,4
3.5,1.505623049,1.669233045,1.838233009,1.977342549,2.145671504,2.217331328,2.263667931,2.299385226,2.280637672,2.20587261,2.059447135,1.894021389,1.866919043,1.799834747,1.765155742,0
4.8,2.794377348,2.741091918,2.617299427,2.335871997,2.102777087,2.047535417,2.002238349,1.916339899,1.804108332,1.77746942,1.87593585,1.961471895,2.123632949,2.221711461,2.33612927,8
9.4,1.035971799,1.101291967,1.237192952,1.380039701,1.52151173,1.597535035,1.689146164,1.657115024,1.644559645,1.528300402,1.521346227,1.569245969,1.81732009,2.082352488,2.302413035,4
4.3,2.082842549,2.124152864,2.23219419,2.204250636,2.12125649,2.098663396,2.151496398,2.220195586,2.360702558,2.466824119,2.673119326,2.807315126,2.972471208,3.029461689,3.040273091,2
4.8,1.748355382,1.757351226,1.793504238,1.789883237,1.859835334,2.036085167,2.287243719,2.485035326,2.646071855,2.724048284,2.869498944,2.925707581,3.004754422,2.879899782,2.727253817,1
9,2.772345406,2.829382785,2.866706152,2.752978337,2.563302277,2.366720524,2.200959447,2.098152924,1.980440621,1.908655412,1.952270334,2.037887657,2.237992763,2.348246182,2.474063859,2
2,1.174275382,1.319129447,1.483930831,1.618181733,1.798914314,1.943321564,2.063478877,2.165776054,2.213825874,2.198816427,2.192265489,2.126171676,2.120536041,2.063863328,1.99239755,0
1.1,1.782704115,1.809850452,1.788515947,1.562495958,1.298991553,1.164460457,1.096952878,0.994867049,0.899844995,0.853808286,0.91381986,0.974406522,1.102362309,1.171958296,1.245853639,8
4.5,1.617328075,1.497360436,1.40980899,1.25666583,1.151272324,1.118625697,1.138987712,1.146524806,1.164993723,1.173885855,1.323646513,1.440858898,1.580893381,1.658732841,1.757257026,8
3.4,1.881661614,1.864246832,1.881607563,1.869130166,1.921019514,2.074045223,2.315729079,2.501747797,2.658333184,2.743978985,2.901661279,2.970846279,3.061018836,2.951570758,2.806419911,1
1.6,1.482388689,1.658870126,1.847573538,2.024281799,2.192659759,2.147608134,2.123307862,2.149796429,2.126787412,1.989290846,1.905086934,1.786350656,1.790621128,1.699212453,1.676629744,0
7.6,0.539887453,0.694286232,0.809819459,0.92366717,1.085308368,1.191901194,1.378871456,1.585294249,1.724407157,1.745513445,1.786774735,1.72853941,1.764619429,1.854935309,1.947971954,7
2.9,2.100937987,1.941968425,1.88234744,1.825906262,1.821213306,1.905246829,2.052720114,2.151238883,2.20971105,2.256839513,2.427502098,2.570215158,2.765831989,2.744774386,2.661479346,8
5.7,2.847093232,2.796093613,2.691692109,2.410368654,2.163134825,2.071146688,2.044987479,2.010566282,1.919484778,1.9273831,2.055527345,2.169059948,2.339862917,2.43202067,2.539659494,8
10.4,1.232140026,1.258906895,1.313318916,1.396528929,1.518984864,1.602408355,1.630624914,1.538280474,1.451252565,1.355463843,1.293345673,1.204546976,1.165830202,1.175978984,1.233199692,7
8.8,1.329794194,1.418528078,1.472251811,1.591715749,1.777471156,1.901266023,2.031396419,2.126230582,2.163091658,2.113302664,2.037795622,1.934714777,1.967945227,1.986494942,2.082212814,4
7,2.020284344,1.878895743,1.762595733,1.641099295,1.6208873,1.633775251,1.618557744,1.568240778,1.545285289,1.569521543,1.770541317,1.962142717,2.205231673,2.305855358,2.356129168,8
8.5,1.518923135,1.531384075,1.669555803,1.819881141,1.924117762,1.934689863,1.915078977,1.845947551,1.903467062,2.018278441,2.254800445,2.449869761,2.650209158,2.744182472,2.814628052,1
3.1,1.179572742,1.348535869,1.536799878,1.704013132,1.935338516,1.967711839,1.944577724,1.974395491,1.999349321,1.932987192,1.868807568,1.774130162,1.808246381,1.703128314,1.643189947,0
8.1,1.027810924,0.98908025,0.964982007,0.997981973,1.080920062,1.238219874,1.452697714,1.550514779,1.583397207,1.503917416,1.44254979,1.33643034,1.296756441,1.309121433,1.391426528,7
8.7,2.12067448,1.999226988,2.00305301,2.001770789,2.069560042,2.169246391,2.340090948,2.477080038,2.57436804,2.65769664,2.847331164,2.957436946,3.062379986,2.932604654,2.780094116,2
5.5,0.504926249,0.619854286,0.730975457,0.836061928,0.959874367,0.98597889,1.04166553,1.094211418,1.102457655,1.094467202,1.038405187,0.980558124,0.988797972,1.021803754,1.015750195,7
1.2,1.578018171,1.602883445,1.549593223,1.459542924,1.364409698,1.272447944,1.185119672,1.074317441,1.039383058,1.060841625,1.136329236,1.272133692,1.46029101,1.680659123,1.890075691,7
10.1,2.498814426,2.441163105,2.404128474,2.238242032,2.10808617,2.10273363,2.223691047,2.288511436,2.328554127,2.404003343,2.596066393,2.733793307,2.917702595,2.941008116,2.924396327,2
8.2,1.940446818,2.041861394,2.151622975,2.231351048,2.355027006,2.466789668,2.543765483,2.551529891,2.468561838,2.325746846,2.229673365,2.091894799,2.130084181,2.142241334,2.272078356,3
7.6,2.35282646,2.386297943,2.354875556,2.1834326,1.996671666,1.829674128,1.652137253,1.466414372,1.269566377,1.152068429,1.201377366,1.285966638,1.424930541,1.499044503,1.622395064,5
1.7,1.549039377,1.612029424,1.6057069,1.545452525,1.453967133,1.351720868,1.275607584,1.143567402,1.077382387,1.056453418,1.112289924,1.209553836,1.366407763,1.571312413,1.795118067,7
3.2,1.357165092,1.524485046,1.697450984,1.866693454,2.064443402,2.141720616,2.159212067,2.180973075,2.171738977,2.134858447,2.052555691,1.888221998,1.871383413,1.778278576,1.7164221,0
4.6,2.005907568,2.027562053,2.059491102,2.16775685,2.307336329,2.418262415,2.39805307,2.275176105,2.156478472,2.036289994,2.078378977,2.159799145,2.367470158,2.561475734,2.75357356,3
1.4,0.957233464,1.080146244,1.130342119,1.227580864,1.371745912,1.543952452,1.7054298,1.836069184,1.904593687,1.89104536,1.918467035,1.885776296,1.918640433,1.935503652,1.979850157,4
6.2,1.800228027,1.81594892,1.849340563,1.820469199,1.866640172,2.026381943,2.272254774,2.467296443,2.6326599,2.716240583,2.866379124,2.92804283,3.02166012,2.916801698,2.776985784,1
3.6,1.740183415,1.677451455,1.698799946,1.706452937,1.751844016,1.879482925,2.008837019,2.109252726,2.133239333,2.19833456,2.464950523,2.621997312,2.759027502,2.605883368,2.414326898,8
20.7,0.948344924,1.002667552,1.090569667,1.259024557,1.431303524,1.524090084,1.611623145,1.598545613,1.592358211,1.490036357,1.442278482,1.42187485,1.572019787,1.810129738,2.040422069,4
